key,bugnr,created,
COMPASS-2095,1,2017-09-24T09:54:19.000+0000,
COMPASS-2094,1,2017-09-24T09:31:16.000+0000,
COMPASS-1936,1,2017-09-07T01:21:32.000+0000,
COMPASS-1767,1,2017-08-21T10:20:01.000+0000,
COMPASS-1433,1,2017-07-25T04:19:52.000+0000,
COMPASS-1311,1,2017-06-29T13:04:14.000+0000,
COMPASS-1045,1,2017-04-18T15:18:04.000+0000,
COMPASS-1014,1,2017-04-07T11:06:40.000+0000,
COMPASS-851,1,2017-03-06T07:32:12.000+0000,
COMPASS-740,1,2017-02-07T21:52:23.000+0000,
COMPASS-416,1,2016-11-21T12:17:09.000+0000,
